TSW:03:033:I	I fake a smile, so he won't see
TSW:04:001:V	I don't know what I want, so don't ask me
TSW:04:002:V	'Cause I'm still trying to figure it out
TSW:04:003:V	Don't know what's down this road, I'm just walking
TSW:04:004:V	Trying to see through the rain coming down
TSW:04:005:V	Even though I'm not the only one
TSW:04:006:V	Who feels the way I do
TSW:04:007:C	I'm alone, on my own, and that's all I know
TSW:04:008:C	I'll be strong, I'll be wrong, oh, but life goes on
TSW:04:009:C	Oh, I'm just a girl trying to find a place in this world
TSW:04:010:V	Got the radio on, my old blue jeans
TSW:04:011:V	And I'm wearing my heart on my sleeve
TSW:04:012:V	Feeling lucky today, got the sunshine
TSW:04:013:V	Could you tell me what more do I need?
TSW:04:014:V	And tomorrow's just a mystery, oh, yeah
TSW:04:015:V	But that's okay
TSW:04:016:C	I'm alone, on my own, and that's all I know
TSW:04:017:C	I'll be strong, I'll be wrong, oh, but life goes on
TSW:04:018:C	Oh, I'm just a girl trying to find a place in this world
TSW:04:019:B	Maybe I'm just a girl on a mission
TSW:04:020:B	But I'm ready to fly
TSW:04:021:C	I'm alone, on my own, and that's all I know
TSW:04:022:C	I'll be strong, I'll be wrong, oh, but life goes on
TSW:04:023:C	Oh, I'm alone, on my own, and that's all I know
TSW:04:024:C	Oh, I'm just a girl trying to find a place in this world
TSW:04:025:I	Oh, I'm just a girl
TSW:04:026:I	Oh, I'm just a girl, oh, oh
TSW:04:027:I	Oh, I'm just a girl
TSW:05:001:V	You have a way of coming easily to me
TSW:05:002:V	And when you take, you take the very best of me
TSW:05:003:V	So I start a fight 'cause I need to feel something
TSW:05:004:V	And you do what you want 'cause I'm not what you wanted
TSW:05:005:C	Oh, what a shame, what a rainy ending
TSW:05:006:C	Given to a perfect day
TSW:05:007:C	Just walk away, ain't no use defending
TSW:05:008:C	Words that you will never say
TSW:05:009:C	And now that I'm sitting here thinking it through
TSW:05:010:C	I've never been anywhere cold as you
TSW:05:011:V	You put up walls and paint them all a shade of gray
TSW:05:012:V	And I stood there loving you and wished them all away
TSW:05:013:V	And you come away with a great little story
TSW:05:014:V	Of a mess of a dreamer with the nerve to adore you
TSW:05:015:C	Oh, what a shame, what a rainy ending
TSW:05:016:C	Given to a perfect day
TSW:05:017:C	So just walk away, ain't no use defending
TSW:05:018:C	Words that you will never say
TSW:05:019:C	And now that I'm sitting here thinking it through
TSW:05:020:C	I've never been anywhere cold as you
TSW:05:021:B	You never did give a damn thing, honey
TSW:05:022:B	But I cried, cried for you
TSW:05:023:B	And I know you wouldn't have told nobody
TSW:05:024:B	If I died, died for you, died for you
TSW:05:025:C	Oh, what a shame, what a rainy ending
TSW:05:026:C	Given to a perfect day, oh
TSW:05:027:C	Every smile you fake is so condescending
TSW:05:028:C	Counting all the scars you made
TSW:05:029:C	And now that I'm sitting here thinking it through
TSW:05:030:C	I've never been anywhere cold as you
TSW:05:031:C	Ooh-oh
TSW:06:001:V	I didn't know what I would find
TSW:06:002:V	When I went looking for a reason, I know
TSW:06:003:V	I didn't read between the lines
TSW:06:004:V	And, baby, I've got nowhere to go
TSW:06:005:C	I tried to take the road less traveled by
TSW:06:006:C	But nothing seems to work the first few times
TSW:06:007:C	Am I right?
TSW:06:008:C	So how can I ever try to be better?
TSW:06:009:C	Nobody ever lets me in
TSW:06:010:C	I can still see you, this ain't the best view
TSW:06:011:C	On the outside looking in
TSW:06:012:C	I've been a lot of lonely places
TSW:06:013:C	I've never been on the outside
TSW:06:014:V	You saw me there, but never knew
TSW:06:015:V	That I would give it all up to be
TSW:06:016:V	A part of this, a part of you
TSW:06:017:V	And now, it's all too late, so you see
TSW:06:018:C	You could've helped if you had wanted to
TSW:06:019:C	But no one notices until it's too late to do anything
TSW:06:020:C	How can I ever try to be better?
TSW:06:021:C	Nobody ever lets me in
TSW:06:022:C	I can still see you, this ain't the best view
TSW:06:023:C	On the outside looking in
TSW:06:024:C	I've been a lot of lonely places
TSW:06:025:C	I've never been on the outside
TSW:06:026:C	Oh, yeah
TSW:06:027:C	How can I ever try to be better?
TSW:06:028:C	Nobody ever lets me in
TSW:06:029:C	And I can still see you, this ain't the best view
TSW:06:030:C	On the outside looking in
TSW:06:031:C	I've been a lot of lonely places
TSW:06:032:C	I've never been on the outside
TSW:06:033:I	Oh-oh
TSW:06:034:I	Oh, oh-oh
TSW:06:035:I	Oh-oh
TSW:06:036:I	Oh-oh
TSW:07:001:V	Seems the only one who doesn't see your beauty
TSW:07:002:V	Is the face in the mirror looking back at you
TSW:07:003:V	You walk around here thinking you're not pretty
TSW:07:004:V	But that's not true
TSW:07:005:V	'Cause I know you
TSW:07:006:C	Hold on, baby, you're losing it
