"Word"	"PoSes"	"FqBand"	"OECRank"	"CEFRLevel"	"NextWord1"	"NextWord2"	"NextWord3"	"Length"	"Reps"	"Count"	"Verse"	"Bridge"	"Chorus"	"Refrain"	"InOut"	"Albums"	"Songs"	"AlbumOccurrences"
"hard"	"Adje, Adve"	6		"A1"	"ground#3"	"way#3"	"week#2"	4	0	44	17	6	19	0	2	10	28	"TSW#3, FER#4, SPN#10, RED#9, REP#4, ...MANY"
"harder"	"Adje"	6		"A1"	""	""	""	6	0	6	2	0	4	0	0	3	4	"FER#2, RED#2, REP#2"
"late"	"Adje, Adve"	6		"A1"	"well#4"	"tapping#3"	"night#1"	4	0	32	6	3	21	0	2	8	15	"TSW#8, FER#6, SPN#2, RED#3, NEN#5, ...MANY"
"local"	"Adje, Noun"	6		"A1"	"paper#1"	""	""	5	0	1	1	0	0	0	0	1	1	"TPD#1"
"low"	"Adje, Adve, Noun, Verb"	6		"A2"	"did#1"	""	""	3	0	11	3	0	8	0	0	5	6	"FER#3, REP#4, LVR#2, EVE#1, TPD#1"
"nice"	"Adje, Adve"	6		"A1"	"things#8"	"dress#4"	"being#1"	4	0	44	6	4	33	0	1	9	13	"TSW#1, SPN#1, RED#1, NEN#5, REP#14, ...MANY"
"nicer"	"Adje"	6		"A1"	"nurses#1"	""	""	5	0	1	1	0	0	0	0	1	1	"LVR#1"
"sorry"	"Adje"	6		"A1"	"nights#3"	"i'm#2"	"just#2"	5	0	42	7	5	20	0	10	9	15	"TSW#2, FER#17, SPN#4, RED#2, NEN#2, ...MANY"
"special"	"Adje, Noun"	6		"A1"	"just#3"	""	""	7	0	3	0	0	3	0	0	1	1	"FER#3"
"strong"	"Adje, Adve"	6		"A1"	"thing#4"	"i'll#3"	""	6	0	11	4	0	7	0	0	6	6	"TSW#3, SPN#1, RED#1, REP#1, EVE#4, ...MANY"
"stronger"	"Adje"	6		"A1"	"than#2"	"now#1"	""	8	0	4	2	2	0	0	0	3	4	"FER#2, LVR#1, EVE#1"
"true"	"Adje, Adve, Verb"	6		"A1"	"love#8"	"swear#2"	""	4	0	33	7	5	19	0	2	7	18	"TSW#6, NEN#8, LVR#7, FOL#4, EVE#2, ...MANY"
"white"	"Adje, Noun"	6		"A1"	"diamonds#4"	"horse#4"	"teeth#3"	5	0	29	7	4	14	0	4	8	16	"FER#6, SPN#3, NEN#4, REP#1, LVR#1, ...MANY"
"whole"	"Adje, Noun"	6		"A2"	"place#8"	"way#8"	"life#7"	5	0	64	17	6	38	0	3	12	30	"TSW#1, FER#5, SPN#5, RED#9, NEN#4, ...MANY"
"wrong"	"Adje, Adve, Noun, Verb"	6		"A1"	"oh#3"	"somehow#3"	"girl#2"	5	3	54	19	5	30	0	0	13	34	"TSW#6, FER#7, SPN#10, RED#4, NEN#3, ...MANY"
"course"	"Adve, Noun, Verb"	6		"A1"	"Sabrina#1"	""	""	6	0	2	1	0	0	0	1	1	2	"LSG#2"
"either"	"Adve, Dete"	6		"A2"	"break#4"	"moved#1"	"way#1"	6	0	6	1	1	4	0	0	3	3	"SPN#4, RED#1, TPD#1"
"exactly"	"Adve"	6		"A2"	"when#1"	"where#1"	""	7	0	6	2	0	4	0	0	3	4	"FER#1, NEN#2, LSG#3"
"finally"	"Adve"	6		"A2"	"clean#9"	"breathe#4"	"win#2"	7	0	19	2	1	13	0	3	6	6	"TSW#1, FER#2, SPN#1, NEN#13, FOL#1, ...MANY"
"less"	"Adve, Dete"	6		"A2"	"traveled#2"	"dagger#1"	"gay#1"	4	0	12	4	1	7	0	0	7	8	"TSW#1, SPN#1, NEN#2, LVR#1, FOL#1, ...MANY"
"please"	"Adve, Verb"	6		"A1"	"don't#16"	"picture#2"	"show#2"	6	0	35	3	16	10	0	6	10	16	"FER#4, SPN#11, RED#1, NEN#3, REP#4, ...MANY"
"pretty"	"Adve, Adje, Noun"	6		"A1"	"little#4"	"baby#3"	"lights#2"	6	0	25	12	2	10	0	1	9	15	"TSW#4, FER#2, SPN#4, RED#3, NEN#2, ...MANY"
"quite"	"Adve"	6		"A1"	"some#5"	"buried#2"	"know#2"	5	0	19	5	1	13	0	0	8	12	"SPN#1, RED#6, NEN#1, REP#2, FOL#2, ...MANY"
"simply"	"Adve"	6		"B1"	"had#1"	""	""	6	0	1	0	1	0	0	0	1	1	"MID#1"
"sometimes"	"Adve"	6		"A1"	"givin'#4"	"walkin'#4"	"ask#2"	9	0	42	11	4	23	0	4	8	19	"TSW#1, FER#3, SPN#5, RED#7, REP#2, ...MANY"
"several"	"Dete"	6		"A2"	"seats#1"	""	""	7	0	1	0	0	1	0	0	1	1	"LVR#1"
"actions"	"Noun"	6		"A1"	"talk#1"	""	""	7	0	1	1	0	0	0	0	1	1	"TPD#1"
"age"	"Noun, Verb"	6		"A1"	"maybe#1"	""	""	3	0	8	7	1	0	0	0	4	6	"FER#1, SPN#2, RED#3, TPD#2"
"ages"	"Noun, Verb"	6		"A1"	"ago#1"	""	""	4	0	5	4	0	1	0	0	3	5	"SPN#1, LVR#2, MID#2"
"air"	"Noun, Verb"	6		"A1"	"through#2"	"like#1"	"was#1"	3	0	16	8	2	6	0	0	6	12	"FER#6, SPN#2, RED#1, LVR#2, FOL#1, ...MANY"
"arm"	"Noun, Verb"	6		"A1"	"around#2"	"'round#1"	""	3	0	5	1	1	3	0	0	3	4	"FER#1, SPN#3, LSG#1"
"arms"	"Noun, Verb"	6		"A1"	"around#4"	"twistin'#2"	"right#1"	4	0	9	3	4	2	0	0	5	7	"FER#1, SPN#2, NEN#2, LVR#2, FOL#2"
"art"	"Noun"	6		"A1"	""	""	""	3	0	6	3	0	2	0	1	4	4	"NEN#1, EVE#2, TPD#2, LSG#1"
"babies"	"Noun"	6		"A1"	"presents#1"	""	""	6	0	3	2	0	1	0	0	3	3	"TSW#1, FOL#1, TPD#1"
"baby"	"Noun, Verb"	6		"A1"	"i'm#20"	"now#15"	"that's#11"	4	2	227	26	18	161	4	18	12	61	"TSW#15, FER#46, SPN#14, RED#7, NEN#50, ...MANY"
"baby's"	"Noun, Verb"	6		"A1"	"fit#3"	"fly#3"	""	6	0	6	0	0	6	0	0	1	1	"REP#6"
"brother"	"Noun"	6		"A1"	"inside#1"	"used#1"	""	7	0	5	3	1	1	0	0	4	4	"FER#1, REP#1, FOL#2, LSG#1"
"brother's"	"Noun"	6		"A1"	"favorite#1"	"Jeep#1"	"wall#1"	9	0	3	2	1	0	0	0	3	3	"SPN#1, LVR#1, LSG#1"
"buildin'"	"Noun, Cont"	6		"A1"	"somethin'#2"	"other#1"	""	8	0	4	0	1	3	0	0	2	3	"EVE#1, TPD#3"
"care"	"Noun, Verb"	6		"A2"	"where#3"	"'cause#1"	"less#1"	4	0	15	7	4	4	0	0	9	12	"SPN#2, RED#1, REP#2, LVR#1, FOL#1, ...MANY"
"cares"	"Noun, Verb"	6		"A2"	""	""	""	5	0	1	1	0	0	0	0	1	1	"RED#1"
"chance"	"Noun, Verb"	6		"A2"	"it's#1"	"trying#1"	""	6	0	17	7	4	6	0	0	8	14	"TSW#2, FER#3, SPN#4, NEN#2, REP#1, ...MANY"
"chances"	"Noun, Verb"	6		"A2"	"are#2"	"every#1"	"you'd#1"	7	0	6	6	0	0	0	0	4	5	"FER#1, SPN#2, FOL#1, TPD#2"
"church"	"Noun"	6		"A2"	"bells#1"	""	""	6	0	5	1	0	4	0	0	2	2	"SPN#4, LVR#1"
"class"	"Noun, Verb"	6		"A1"	"next#1"	"reunion#1"	"scared#1"	5	0	3	3	0	0	0	0	3	3	"FER#1, NEN#1, OTH#1"
"college"	"Noun"	6		"A1"	"working#1"	""	""	7	0	1	1	0	0	0	0	1	1	"SPN#1"
"color"	"Noun, Verb"	6		""	"back#1"	"blue#1"	"i've#1"	5	0	9	9	0	0	0	0	7	7	"NEN#1, REP#1, LVR#1, FOL#3, MID#1, ...MANY"
"colors"	"Noun"	6		""	"fade#1"	""	""	6	0	6	1	1	4	0	0	5	5	"RED#1, NEN#1, LVR#1, FOL#1, EVE#2"
"comment"	"Noun, Verb"	6		"A2"	""	""	""	7	0	1	0	0	1	0	0	1	1	"TPD#1"
"comments"	"Noun, Verb"	6		"A2"	""	""	""	8	0	1	1	0	0	0	0	1	1	"LSG#1"
"control"	"Noun, Verb"	6		"A2"	"your#1"	""	""	7	0	3	2	0	1	0	0	2	3	"NEN#2, LVR#1"
"cost"	"Noun, Verb"	6		"A1"	"now#3"	""	""	4	0	5	0	3	2	0	0	2	2	"NEN#2, EVE#3"
"costs"	"Noun, Verb"	6		"A1"	"keep#1"	""	""	5	0	1	1	0	0	0	0	1	1	"TPD#1"
"couple"	"Noun, Verb"	6		"A2"	"kids#4"	"side#1"	""	6	0	6	1	1	4	0	0	3	3	"SPN#1, FOL#1, LSG#4"
"couples"	"Noun, Verb"	6		"A2"	""	""	""	7	0	1	1	0	0	0	0	1	1	"LSG#1"
"court"	"Noun, Verb, Adje"	6		"B1"	"was#1"	""	""	5	0	1	1	0	0	0	0	1	1	"EVE#1"
"death"	"Noun"	6		"A2"	"he'll#1"	"march#1"	"rattle#1"	5	0	15	5	1	9	0	0	6	8	"SPN#1, RED#1, LVR#6, EVE#2, MID#1, ...MANY"
"decisions"	"Noun"	6		"A2"	""	""	""	9	0	1	0	1	0	0	0	1	1	"LSG#1"
"department"	"Noun"	6		"A2"	""	""	""	10	0	2	1	0	0	0	1	1	1	"TPD#2"
"difference"	"Noun"	6		"A1"	""	""	""	10	0	3	0	0	3	0	0	1	1	"TPD#3"
"doctor"	"Noun, Verb"	6		"A1"	"had#1"	""	""	6	0	1	1	0	0	0	0	1	1	"FOL#1"
"doctor's"	"Noun, Verb"	6		"A1"	"office#1"	""	""	8	0	1	1	0	0	0	0	1	1	"LVR#1"
"door"	"Noun"	6		"A1"	"like#2"	"down#1"	"isn't#1"	4	0	58	21	4	30	1	2	10	32	"TSW#6, FER#9, SPN#8, RED#12, NEN#4, ...MANY"
"doors"	"Noun"	6		"A1"	"'stead#1"	""	""	5	0	5	3	0	1	0	1	4	4	"TSW#1, FER#2, TPD#1, LSG#1"
"drug"	"Noun, Verb"	6		"A2"	"is#9"	""	""	4	0	18	2	4	10	0	2	4	5	"REP#9, LVR#1, FOL#1, TPD#7"
"drugs"	"Noun, Verb"	6		"A2"	"more#1"	""	""	5	0	1	1	0	0	0	0	1	1	"TPD#1"
"effects"	"Noun, Verb"	6		"A2"	"were#1"	""	""	7	0	1	1	0	0	0	0	1	1	"TPD#1"
"effort"	"Noun"	6		"B1"	"you've#3"	""	""	6	0	3	0	0	3	0	0	1	1	"LSG#3"
"events"	"Noun"	6		"A1"	""	""	""	6	0	1	1	0	0	0	0	1	1	"TPD#1"
"evidence"	"Noun, Verb"	6		"A2"	"make#1"	""	""	8	0	2	1	1	0	0	0	2	2	"MID#1, TPD#1"
"feet"	"Noun"	6		"A1"	"tall#4"	"down#2"	"lead#2"	4	0	24	7	4	12	0	1	10	15	"TSW#3, FER#3, SPN#1, RED#2, NEN#8, ...MANY"
"field"	"Noun, Verb"	6		"A2"	"before#1"	"behind#1"	"bein'#1"	5	0	5	4	0	1	0	0	4	5	"TSW#1, REP#1, LVR#1, TPD#2"
"fields"	"Noun, Verb"	6		"A2"	""	""	""	6	0	1	1	0	0	0	0	1	1	"EVE#1"
"film"	"Noun, Verb"	6		"A1"	"before#6"	"reel#1"	"scene#1"	4	0	8	1	1	6	0	0	2	3	"LVR#1, FOL#7"
"films"	"Noun, Verb"	6		"A1"	"united#1"	""	""	5	0	2	1	1	0	0	0	2	2	"LVR#1, FOL#1"
"force"	"Noun, Verb"	6		"B1"	"take#1"	"us#1"	""	5	0	4	2	2	0	0	0	4	4	"SPN#1, LVR#1, MID#1, TPD#1"
"heart"	"Noun"	6		"A2"	"body#7"	"'cause#3"	"after#3"	5	0	101	15	10	69	0	7	12	47	"TSW#10, FER#8, SPN#9, RED#7, NEN#5, ...MANY"
"heart's"	"Noun"	6		"A2"	"been#1"	""	""	7	0	2	0	2	0	0	0	2	2	"FER#1, LVR#1"
"hearts"	"Noun"	6		"A2"	"are#1"	"put#1"	"worse#1"	6	0	10	6	2	2	0	0	5	9	"RED#3, NEN#1, REP#2, EVE#2, TPD#2"
"leader"	"Noun"	6		"A2"	"i'd#1"	""	""	6	0	2	1	0	1	0	0	2	2	"LVR#1, TPD#1"
"light"	"Noun, Adje, Verb, Prep, Adve"	6		"A1"	"guiding#2"	"back#1"	"below#1"	5	0	52	16	20	9	0	7	12	26	"TSW#6, FER#2, RED#2, NEN#3, REP#15, ...MANY"
"lights"	"Noun, Verb"	6		"A1"	"are#7"	"down#3"	"shined#3"	6	0	77	21	9	44	0	3	11	37	"TSW#2, FER#3, SPN#11, RED#7, NEN#29, ...MANY"
"matter"	"Noun, Verb, Dete"	6		"A2"	"anyway#1"	""	""	6	0	13	3	2	8	0	0	4	8	"TSW#5, MID#2, TPD#3, OTH#3"
"matters"	"Noun, Verb"	6		"A2"	""	""	""	7	0	1	0	1	0	0	0	1	1	"TPD#1"
"mind"	"Noun, Verb"	6		"A2"	"when#2"	"fairy#1"	"forgets#1"	4	0	86	35	14	31	0	6	12	55	"TSW#5, FER#3, SPN#22, RED#9, NEN#5, ...MANY"
"mind's"	"Noun, Verb"	6		"A2"	"trick#1"	""	""	6	0	1	1	0	0	0	0	1	1	"TPD#1"
"minds"	"Noun, Verb"	6		"A2"	"change#1"	""	""	5	0	8	3	3	1	0	1	5	7	"FER#1, SPN#1, RED#2, NEN#2, LSG#2"
"model's"	"Noun, Verb, Adje"	6		"A1"	"bed#1"	""	""	7	0	1	0	0	1	0	0	1	1	"NEN#1"
"models"	"Noun, Verb"	6		"A1"	""	""	""	6	0	1	0	1	0	0	0	1	1	"LVR#1"
"moment"	"Noun"	6		"A1"	"lipstick#2"	"again#1"	"now#1"	6	0	30	7	5	17	0	1	10	17	"TSW#2, FER#1, SPN#4, RED#6, REP#3, ...MANY"
"moment's"	"Noun"	6		"A1"	"right#2"	""	""	8	0	2	0	2	0	0	0	1	1	"SPN#2"
"moments"	"Noun"	6		"A1"	""	""	""	7	0	2	2	0	0	0	0	2	2	"REP#1, EVE#1"
"mornin'"	"Noun, Cont"	6		"A1"	"gone#4"	"comes#1"	"loneliness#1"	7	0	10	6	0	4	0	0	4	6	"FER#4, SPN#1, RED#1, NEN#4"
"morning"	"Noun"	6		"A1"	"comes#2"	"light#2"	"air#1"	7	0	18	7	1	9	0	1	9	13	"TSW#1, FER#4, SPN#1, RED#1, NEN#1, ...MANY"
"mornings"	"Noun"	6		"A1"	"are#1"	""	""	8	0	1	1	0	0	0	0	1	1	"TPD#1"
"movie"	"Noun"	6		"A1"	""	""	""	5	0	3	2	1	0	0	0	2	3	"FER#2, FOL#1"
"movies"	"Noun"	6		"A1"	""	""	""	6	0	3	2	1	0	0	0	3	3	"SPN#1, RED#1, LVR#1"
"music"	"Noun"	6		"A1"	"concerts#1"	"starts#1"	"stopped#1"	5	0	6	3	0	2	0	1	4	5	"FER#2, RED#1, NEN#2, EVE#1"
"office"	"Noun"	6		"A1"	"downtown#1"	"lighting#1"	""	6	0	4	1	1	2	0	0	3	3	"NEN#1, LVR#1, LSG#2"
"paper"	"Noun, Verb"	6		"A1"	"rings#8"	"airplanes#1"	"cut#1"	5	0	13	2	2	9	0	0	4	6	"RED#2, NEN#1, LVR#9, TPD#1"
"papers"	"Noun, Verb"	6		"A1"	""	""	""	6	0	3	1	1	0	0	1	2	2	"SPN#1, LSG#2"
"parents"	"Noun"	6		"A1"	""	""	""	7	0	1	1	0	0	0	0	1	1	"TPD#1"
"parents'"	"Noun"	6		"A1"	"house#3"	"mistakes#1"	""	8	0	4	1	0	3	0	0	2	2	"SPN#1, EVE#3"
"phone"	"Noun, Verb"	6		"A1"	"like#4"	"across#1"	"lights#1"	5	0	32	14	2	16	0	0	11	21	"TSW#3, FER#10, SPN#2, RED#5, NEN#4, ...MANY"
"phones"	"Noun, Verb"	6		"A1"	""	""	""	6	0	1	1	0	0	0	0	1	1	"FOL#1"
"photo"	"Noun"	6		"A1"	"album#1"	""	""	5	0	1	1	0	0	0	0	1	1	"RED#1"
"photos"	"Noun"	6		"A1"	"twenty-five#1"	""	""	6	0	4	2	0	2	0	0	2	2	"SPN#3, MID#1"
"picture"	"Noun, Verb"	6		"A1"	"frames#4"	"down#1"	"frame#1"	7	0	26	8	2	14	0	2	10	17	"TSW#5, FER#3, RED#3, NEN#2, REP#2, ...MANY"
"pictures"	"Noun, Verb"	6		"A1"	"around#1"	"like#1"	""	8	0	10	6	4	0	0	0	4	8	"TSW#2, SPN#4, RED#1, NEN#3"
"piece"	"Noun, Verb"	6		"A1"	"love#3"	""	""	5	0	5	0	1	4	0	0	2	3	"TSW#3, RED#2"
"pieces"	"Noun, Verb"	6		"A1"	"fall#4"	"into#1"	""	6	0	16	4	1	11	0	0	5	8	"RED#5, NEN#1, REP#5, FOL#1, TPD#4"
"plan"	"Noun, Verb"	6		"A1"	""	""	""	4	0	6	4	0	2	0	0	4	4	"SPN#1, FOL#1, MID#2, LSG#2"
"plans"	"Noun, Verb"	6		"A1"	"that's#8"	"just#4"	"were#1"	5	0	20	5	2	9	0	4	6	9	"SPN#1, RED#1, LVR#3, FOL#4, EVE#8, ...MANY"
"players"	"Noun"	6		"A1"	"gonna#3"	"play#1"	""	7	0	7	0	0	7	0	0	2	3	"NEN#6, LVR#1"
"policy"	"Noun"	6		"B1"	""	""	""	6	0	1	0	1	0	0	0	1	1	"EVE#1"
"practice"	"Noun, Verb"	6		"A1"	""	""	""	8	0	1	1	0	0	0	0	1	1	"TPD#1"
"price"	"Noun, Verb"	6		"A1"	"goin'#1"	""	""	5	0	10	5	1	4	0	0	6	7	"TSW#2, NEN#4, LVR#1, EVE#1, MID#1, ...MANY"
"prices"	"Noun, Verb"	6		"A1"	""	""	""	6	0	1	0	0	1	0	0	1	1	"MID#1"
"record"	"Noun, Verb, Adje"	6		"A2"	"scratch#3"	"changer#1"	"that's#1"	6	0	5	2	0	3	0	0	3	3	"RED#1, NEN#1, TPD#3"
"records"	"Noun, Verb"	6		"A2"	""	""	""	7	0	4	1	0	3	0	0	2	2	"RED#1, MID#3"
"research"	"Noun, Verb"	6		"A2"	""	""	""	8	0	1	1	0	0	0	0	1	1	"TPD#1"
"road"	"Noun"	6		"A1"	"gets#2"	"less#2"	"i'm#1"	4	0	22	13	0	9	0	0	11	16	"TSW#2, FER#3, SPN#1, NEN#3, REP#1, ...MANY"
"roads"	"Noun"	6		"A1"	""	""	""	5	0	3	3	0	0	0	0	2	3	"FER#1, RED#2"
"role"	"Noun"	6		"A2"	""	""	""	4	0	1	1	0	0	0	0	1	1	"REP#1"
"roles"	"Noun"	6		"A2"	""	""	""	5	0	1	1	0	0	0	0	1	1	"MID#1"
"season"	"Noun, Verb"	6		"A2"	"write#3"	""	""	6	0	4	0	1	3	0	0	1	1	"EVE#4"
"seasons"	"Noun"	6		"A2"	""	""	""	7	0	1	0	1	0	0	0	1	1	"FOL#1"
"sense"	"Noun, Verb"	6		"A2"	"'til#1"	"i'd#1"	""	5	0	8	1	5	1	0	1	4	6	"TSW#1, FER#2, FOL#2, MID#3"
"senses"	"Noun, Verb"	6		"A2"	""	""	""	6	0	2	0	0	2	0	0	1	1	"TPD#2"
"situation"	"Noun"	6		"A1"	"could#1"	""	""	9	0	3	3	0	0	0	0	3	3	"SPN#1, EVE#1, LSG#1"
"situations"	"Noun"	6		"A1"	"circumstances#1"	""	""	10	0	1	1	0	0	0	0	1	1	"MID#1"
"son"	"Noun"	6		"A1"	""	""	""	3	0	2	2	0	0	0	0	2	2	"FOL#1, EVE#1"
"space"	"Noun, Verb"	6		"A1"	"baby#3"	""	""	5	0	12	4	4	4	0	0	6	10	"FER#3, SPN#2, RED#2, NEN#3, EVE#1, ...MANY"
"star"	"Noun, Verb, Adje"	6		"A1"	"signs#1"	""	""	4	0	5	1	0	4	0	0	3	3	"TSW#2, NEN#1, LSG#2"
"stars"	"Noun, Verb"	6		"A1"	"spellin'#6"	"align#1"	"aligned#1"	5	0	26	7	3	13	0	3	9	15	"TSW#5, FER#6, SPN#2, RED#1, FOL#1, ...MANY"
"street"	"Noun"	6		"A1"	"clean#2"	"lights#2"	"looks#1"	6	0	22	9	4	8	0	1	8	15	"TSW#1, FER#2, SPN#3, RED#4, NEN#1, ...MANY"
"streets"	"Noun"	6		"A1"	"there's#2"	""	""	7	0	8	4	0	3	0	1	4	7	"FER#2, RED#2, TPD#3, LSG#1"
"table"	"Noun, Verb"	6		"A1"	"bills#1"	"i'll#1"	"yours#1"	5	0	11	4	3	4	0	0	6	8	"SPN#1, RED#1, LVR#1, EVE#2, TPD#5, ...MANY"
"tables"	"Noun"	6		"A1"	"turn#1"	""	""	6	0	2	2	0	0	0	0	2	2	"SPN#1, NEN#1"
"thanks"	"Noun"	6		"A1"	"though#1"	""	""	6	0	4	4	0	0	0	0	2	3	"MID#3, LSG#1"
"town"	"Noun"	6		"A1"	"blue#3"	"car#3"	"has#3"	4	0	69	24	7	36	2	0	11	42	"TSW#2, FER#10, SPN#9, RED#4, NEN#1, ...MANY"
"type"	"Noun, Verb"	6		"A1"	""	""	""	4	0	2	1	0	1	0	0	2	2	"REP#1, LVR#1"
"view"	"Noun, Verb"	6		"A2"	"oh#1"	""	""	4	0	10	5	0	5	0	0	7	7	"TSW#3, RED#1, NEN#1, REP#1, EVE#1, ...MANY"
"views"	"Noun, Verb"	6		"A2"	""	""	""	5	0	1	1	0	0	0	0	1	1	"RED#1"
"voice"	"Noun, Verb"	6		"A2"	"comes#2"	"is#1"	"like#1"	5	0	7	5	0	2	0	0	4	6	"SPN#1, RED#3, NEN#2, MID#1"
"voices"	"Noun, Verb"	6		"A2"	"like#1"	""	""	6	0	9	3	4	2	0	0	5	6	"FER#1, SPN#4, RED#1, MID#1, TPD#2"
"wife"	"Noun"	6		"A1"	"waters#2"	""	""	4	0	8	2	0	6	0	0	3	5	"EVE#2, MID#1, TPD#5"
"wives"	"Noun"	6		"A1"	"always#1"	""	""	5	0	1	0	1	0	0	0	1	1	"FOL#1"
"million"	"Numb, Noun"	6		"A1"	"little#10"	"pieces#1"	"tears#1"	7	0	13	3	0	8	0	2	5	6	"FER#6, RED#1, FOL#4, EVE#1, TPD#1"
"second"	"Numb, Noun, Verb"	6		"A1"	"period#2"	"best#1"	"chance#1"	6	0	9	5	3	1	0	0	8	8	"FER#1, RED#1, NEN#1, REP#1, FOL#1, ...MANY"
"six"	"Numb"	6		"A1"	"months#1"	"weeks#1"	""	3	0	4	3	1	0	0	0	3	4	"FER#1, NEN#1, TPD#2"
"across"	"Prep, Adve"	6		"A1"	"our#2"	"your#1"	""	6	0	8	5	1	2	0	0	4	7	"SPN#1, RED#1, EVE#4, TPD#2"
"along"	"Prep, Adve"	6		"A2"	"got#1"	"while#1"	""	5	0	27	6	5	16	0	0	9	14	"TSW#1, FER#4, SPN#2, RED#2, NEN#10, ...MANY"
"behind"	"Prep, Adve, Noun"	6		"A1"	"your#2"	"glass#1"	"walls#1"	6	0	16	6	1	7	0	2	6	10	"TSW#1, SPN#2, LVR#1, FOL#5, EVE#6, ...MANY"
"toward"	"Prep"	6		""	"your#1"	""	""	6	0	1	1	0	0	0	0	1	1	"MID#1"
"within"	"Prep, Adve"	6		"B1"	""	""	""	6	0	1	1	0	0	0	0	1	1	"MID#1"
"anyone"	"Pron"	6		"A1"	"called#8"	"else#2"	"when#1"	6	0	20	1	3	16	0	0	5	7	"TSW#7, RED#1, FOL#2, EVE#2, LSG#8"
"everyone"	"Pron"	6		"A1"	"knows#3"	"believes#1"	"disappear#1"	8	0	18	11	4	3	0	0	9	17	"FER#1, SPN#1, RED#1, NEN#1, REP#4, ...MANY"
"everyone's"	"Pron"	6		"A1"	"got#1"	"unbothered#1"	""	10	0	7	2	0	5	0	0	2	3	"MID#5, LSG#2"
"himself"	"Pron"	6		"A2"	""	""	""	7	0	1	0	0	1	0	0	1	1	"REP#1"
"myself"	"Pron"	6		"A2"	"runnin'#4"	"why#3"	"crazy#1"	6	0	45	8	5	28	0	4	11	27	"TSW#4, FER#9, SPN#6, RED#5, NEN#2, ...MANY"
"themselves"	"Pron"	6		"A2"	"before#1"	""	""	10	0	2	1	0	1	0	0	2	2	"EVE#1, OTH#1"
"yourself"	"Pron"	6		"A1"	"tonight#2"	"more#1"	"talk#1"	8	0	11	6	3	1	0	1	7	9	"TSW#2, FER#2, SPN#1, RED#1, FOL#3, ...MANY"
"agrees"	"Verb"	6		"A1"	"everybody#1"	""	""	6	0	6	0	2	4	0	0	1	1	"MID#6"
"appear"	"Verb"	6		"A2"	"before#1"	""	""	6	0	1	1	0	0	0	0	1	1	"MID#1"
"ate"	"Verb"	6		"A1"	"kids'#1"	"seven#1"	""	3	0	3	3	0	0	0	0	2	3	"FOL#1, TPD#2"
"break"	"Verb, Noun"	6		"A1"	"down#7"	"your#5"	"them#4"	5	15	84	16	4	61	0	3	12	31	"TSW#10, FER#3, SPN#10, RED#13, NEN#16, ...MANY"
"breaks"	"Verb, Noun"	6		"A1"	"loose#2"	"down#1"	""	6	0	11	2	2	7	0	0	3	5	"SPN#1, EVE#5, TPD#5"
"build"	"Verb, Noun"	6		"A1"	""	""	""	5	0	6	0	1	5	0	0	2	2	"NEN#5, TPD#1"
"built"	"Verb"	6		"A1"	""	""	""	5	0	4	3	1	0	0	0	4	4	"RED#1, NEN#1, REP#1, TPD#1"
"carry"	"Verb, Noun"	6		"A1"	"away#1"	""	""	5	0	3	3	0	0	0	0	3	3	"RED#1, NEN#1, LVR#1"
"catch"	"Verb, Noun"	6		"A2"	"him#1"	"your#1"	""	5	0	16	6	4	4	0	2	8	11	"FER#6, SPN#1, RED#1, NEN#1, LVR#2, ...MANY"
"cause"	"Verb, Noun"	6		"A2"	"no#1"	""	""	5	0	1	0	0	1	0	0	1	1	"EVE#1"
"choose"	"Verb"	6		"A1"	""	""	""	6	0	3	2	1	0	0	0	3	3	"FER#1, MID#1, TPD#1"
"chose"	"Verb"	6		"A1"	"now#1"	""	""	5	0	6	3	0	3	0	0	4	5	"RED#1, FOL#1, MID#1, TPD#3"
"consider"	"Verb"	6		"A2"	""	""	""	8	0	1	0	1	0	0	0	1	1	"RED#1"
"cover"	"Verb, Noun"	6		"A2"	"when#2"	"rolling#1"	""	5	0	6	3	1	2	0	0	5	5	"FER#2, FOL#1, EVE#1, TPD#1, OTH#1"
"covers"	"Verb, Noun"	6		"A2"	""	""	""	6	0	1	0	0	1	0	0	1	1	"REP#1"
"cut"	"Verb, Noun, Adje"	6		"A1"	"'em#3"	"deep#3"	"off#1"	3	0	20	4	1	15	0	0	7	10	"FER#2, NEN#5, REP#1, LVR#4, FOL#1, ...MANY"
"cuts"	"Verb, Noun"	6		"A1"	"both#1"	""	""	4	0	9	2	1	6	0	0	3	3	"FER#1, LVR#7, EVE#1"
"decide"	"Verb"	6		"A1"	""	""	""	6	0	4	3	1	0	0	0	3	4	"SPN#1, RED#2, REP#1"
"drive"	"Verb, Noun"	6		"A1"	"away#4"	"home#3"	"down#2"	5	0	34	14	7	12	1	0	8	23	"TSW#8, FER#5, RED#7, NEN#4, LVR#4, ...MANY"
"drives"	"Verb, Noun"	6		"A1"	"away#1"	"coffee#1"	""	6	0	3	2	1	0	0	0	2	3	"SPN#1, NEN#2"
"ended"	"Verb"	6		"A1"	""	""	""	5	0	9	3	3	3	0	0	5	7	"SPN#1, NEN#3, FOL#1, MID#1, TPD#3"
"expect"	"Verb"	6		"A2"	""	""	""	6	0	2	1	1	0	0	0	2	2	"TSW#1, LSG#1"
"expectin'"	"Verb, Cont"	6		"A2"	"you'd#1"	""	""	9	0	1	1	0	0	0	0	1	1	"RED#1"
